0.25	4	45	15
0.3	4	45	15
0.4	4	45	15
0.5	7	45	15
0.6	15	45	15
0.65	15	45	15
0.7	17	45	15
0.75	17	45	15
0.8	20	45	15
0.85	20	45	15
0.9	20	45	15
0.95	20	45	15
1	20	45	15
1.05	20	45	15
1.1	20	45	15
1.15	20	45	15
1.2	20	45	15
1.25	20	45	15
1.3	20	45	15
1.35	20	45	15
1.4	20	45	15
1.45	20	45	15
1.5	20	45	15
1.55	20	45	15
1.6	18	45	15
1.65	18	45	15
1.7	18	45	15
1.75	18	45	15
1.8	15	45	15
1.85	15	45	15
1.9	15	45	15
2	12	45	15
2.1	12	45	15
2.15	12	45	15
2.2	11	45	15
2.25	11	45	15
2.3	11	45	15
2.35	11	45	15
2.4	10	45	15
2.45	10	45	15
2.5	10	45	15
2.6	10	45	15
2.7	9	45	15
2.8	8	45	15
2.85	8	45	15
2.9	8	45	15
2.95	8	45	15
3	7	45	15
3.1	7	45	15
3.2	7	45	15
3.3	7	45	15
3.4	7	45	15
3.5	6	45	15
3.6	6	45	15
3.7	6	45	15
3.8	6	45	15
3.9	6	45	15
4	5	45	15
4.1	5	45	15
4.2	5	45	15
4.3	5	45	15
4.4	5	45	15
4.5	4	45	15
4.6	4	45	15
4.65	4	45	15
4.7	4	45	15
4.75	4	45	15
4.8	4	45	15
4.9	4	45	15
5	3	45	15
5.1	3	45	15
5.2	3	45	15
5.3	3	45	15
5.4	3	45	15
5.5	2	45	15
5.6	2	45	15
5.7	2	45	15
5.8	2	45	15
5.9	2	45	15
6	1	45	15
6.1	1	45	15
6.2	1	45	15
6.3	1	45	15
6.4	1	45	15
6.5	1	45	15
